nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Ronald Vega, ronaldvega@alunos.utfpr.edu.br, +55 48 92586-7286, 7133222, TECNOLOGIA EM PROCESSOS QUÍMICOS, 5, TOLEDO, ADMINISTRATIVO, PARCERIAS, Dolorem dolore consectetur modi quaerat. Ut labore modi est dolorem etincidunt. Sed quisquam voluptatem etincidunt sit. Dolor modi magnam sit. Etincidunt aliquam modi dolor adipisci. Velit sit aliquam aliquam labore quisquam. Velit velit dolorem quaerat velit quisquam. Numquam modi modi quisquam porro. Eius quisquam quaerat aliquam amet. Tempora adipisci amet dolor sed porro., Dolor ipsum consectetur non adipisci. Ipsum tempora quiquia quaerat amet amet quiquia numquam. Aliquam ipsum dolorem numquam quisquam etincidunt sit etincidunt. Magnam magnam numquam quiquia non. Ut magnam magnam consectetur tempora. Etincidunt tempora ut magnam labore. Sed amet dolorem dolor. Dolor porro dolor dolorem non sit labore quiquia. Etincidunt ipsum dolor labore numquam non velit.
Jesus Cain, jesuscain@alunos.utfpr.edu.br, +55 72 92674- 156, 7717459, EDUCAÇÃO FÍSICA, 8, CURITIBA, ADMINISTRATIVO, PARCERIAS, Voluptatem est adipisci etincidunt. Non numquam ut quiquia est est non dolorem. Voluptatem eius sit porro. Numquam quaerat quiquia voluptatem. Consectetur amet dolor est. Quisquam modi non dolore quaerat. Consectetur ut dolore porro dolorem non quiquia modi. Consectetur ut numquam porro eius est etincidunt consectetur. Est non non non quiquia. Quaerat amet amet eius modi est amet., Voluptatem dolore labore magnam sed sed. Ut labore amet sed. Etincidunt adipisci eius ut. Neque consectetur velit dolor sed. Porro adipisci eius quaerat numquam. Eius modi dolore magnam adipisci quisquam sed tempora. Numquam ut aliquam magnam velit quaerat quaerat etincidunt. Sit adipisci labore ipsum. Quaerat porro tempora numquam dolor porro dolore eius.
Megan Hutton, meganhutton@alunos.utfpr.edu.br, +55 19 96628-1340,  923683, LICENCIATURA EM LETRAS INGLÊS, 9, CURITIBA, ADMINISTRATIVO, PARCERIAS, Numquam labore quisquam modi quisquam voluptatem. Quiquia quaerat etincidunt voluptatem porro. Numquam neque porro porro dolorem non sit. Dolore neque neque dolore porro velit. Non neque est porro est eius. Tempora quisquam dolore amet dolor. Est sit non amet ut sit consectetur. Ipsum quaerat eius est. Magnam tempora ut sed amet magnam., Labore numquam est labore. Consectetur modi magnam ipsum dolore. Tempora aliquam magnam ipsum labore. Labore amet sed adipisci dolor consectetur. Quisquam sed dolorem voluptatem non consectetur ut.
Thomas Richardson, thomasrichardson@alunos.utfpr.edu.br, +55 78 99517-6977, 3707797, LICENCIATURA EM MATEMÁTICA, 2, TOLEDO, ADMINISTRATIVO, PARCERIAS, Modi consectetur sit velit. Ipsum est numquam dolore sit sit. Dolore quisquam sed dolor ut etincidunt dolorem. Eius magnam voluptatem dolore ipsum. Dolore etincidunt adipisci adipisci sit. Numquam aliquam sed dolore ut. Etincidunt dolor magnam consectetur sed eius. Labore consectetur porro sit ut labore est est., Porro neque aliquam neque dolor dolor. Dolorem sed magnam ut labore sed aliquam consectetur. Neque amet labore quisquam non etincidunt dolor tempora. Velit quiquia numquam labore. Labore quiquia ipsum magnam ipsum. Modi sed quaerat ut porro tempora eius. Quaerat sit tempora quisquam tempora numquam modi.
Jeffery Sell, jefferysell@alunos.utfpr.edu.br, +55 42 99293-5087,  493875, LICENCIATURAS EM LETRAS PORTUGUÊS E INGLÊS, 8, PATO BRANCO, ADMINISTRATIVO, PARCERIAS, Porro ipsum dolore voluptatem sit amet dolorem. Labore ipsum labore consectetur dolore. Aliquam quisquam quaerat quiquia quaerat. Voluptatem quiquia labore amet ipsum consectetur labore. Sed quaerat aliquam voluptatem quiquia eius. Voluptatem tempora numquam velit amet est modi dolorem., Quisquam sed aliquam tempora est. Quiquia quiquia sed voluptatem etincidunt quiquia. Labore dolor aliquam numquam voluptatem consectetur. Ipsum voluptatem eius modi. Neque amet sed ut.
Melissa Durante, melissadurante@alunos.utfpr.edu.br, +55 29 92125-3516, 2134041, ENGENHARIA DE CONTROLE E AUTOMAÇÃO, 5, CURITIBA, ADMINISTRATIVO, PARCERIAS, Dolor ut voluptatem quaerat sit quaerat. Voluptatem ut sit magnam porro ipsum quisquam. Numquam consectetur numquam voluptatem adipisci. Neque sed etincidunt tempora ipsum. Aliquam sed est est velit consectetur. Quisquam consectetur labore quaerat numquam voluptatem adipisci amet., Est quaerat velit dolor. Modi magnam consectetur non. Neque porro porro dolore est ut adipisci dolor. Etincidunt aliquam voluptatem magnam velit. Est adipisci quaerat ut sit sit sed adipisci.
Edna Simons, ednasimons@alunos.utfpr.edu.br, +55 12 98923-9035, 6784541, TECNOLOGIA EM GESTÃO AMBIENTAL, 8, MEDIANEIRA, ADMINISTRATIVO, PARCERIAS, Non quiquia amet quiquia est dolore magnam. Quisquam consectetur sed quaerat amet. Sed porro dolor non. Neque quiquia etincidunt labore voluptatem tempora etincidunt. Sed adipisci tempora sed sed adipisci quaerat consectetur., Neque ut quaerat dolore quiquia ipsum. Tempora quaerat neque magnam eius. Aliquam quaerat dolorem sed. Dolore eius tempora quaerat eius tempora non quisquam. Adipisci amet dolorem tempora etincidunt porro consectetur. Non sit magnam tempora non. Magnam sit amet ut numquam.
Stacy Nguyen, stacynguyen@alunos.utfpr.edu.br, +55 36 95497- 690, 8298408, AGRONOMIA, 2, DOIS VIZINHOS, ADMINISTRATIVO, PARCERIAS, Tempora est neque est eius sed amet sit. Etincidunt ipsum ipsum modi modi quaerat. Porro quaerat quaerat porro consectetur ut. Quaerat etincidunt numquam porro porro sit sed. Non quaerat quisquam magnam tempora labore. Neque voluptatem quaerat eius aliquam porro non. Quisquam dolore quaerat porro labore. Sit modi sed quaerat sed sed quisquam. Est adipisci sed voluptatem ipsum quiquia aliquam. Labore eius etincidunt aliquam aliquam amet etincidunt., Modi etincidunt eius dolore dolor dolore aliquam. Dolorem dolore adipisci est voluptatem quisquam dolore. Dolore amet eius adipisci dolorem. Eius amet sed quisquam porro ipsum. Consectetur ipsum tempora voluptatem quisquam. Non porro quisquam labore consectetur. Tempora sed sed tempora. Voluptatem magnam neque non consectetur. Voluptatem consectetur neque consectetur consectetur porro numquam non. Amet ut adipisci eius eius.
William Tidwell, williamtidwell@alunos.utfpr.edu.br, +55 74 94486- 543, 6523021, ENGENHARIA FLORESTAL, 2, DOIS VIZINHOS, AVIÔNICA, AVIÔNICA, Eius eius voluptatem dolore. Adipisci modi sed non. Amet quaerat sed labore quisquam non non dolorem. Porro quaerat labore amet quisquam. Neque neque dolorem quiquia quisquam ipsum ipsum velit. Etincidunt eius dolorem sit magnam sed dolorem non. Non etincidunt quaerat tempora neque. Tempora amet dolor non non. Magnam quiquia ipsum porro quaerat aliquam modi. Non ipsum magnam velit., Quiquia dolor dolor dolor. Tempora dolorem modi adipisci sit amet quaerat. Sed quiquia porro eius sed. Neque tempora labore voluptatem sed. Sit dolore magnam dolore ut sit tempora. Sed amet sit eius. Magnam est adipisci labore quisquam labore dolore. Tempora amet ipsum numquam. Aliquam modi quisquam modi.
Peter Theriot, petertheriot@alunos.utfpr.edu.br, +55 20 95344-5420, 8388169, TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL, 7, PONTA GROSSA, AVIÔNICA, AVIÔNICA, Eius numquam adipisci non numquam dolor dolore. Quaerat aliquam velit velit tempora sit. Sed magnam aliquam numquam tempora modi. Quiquia quaerat eius dolor amet sit magnam dolore. Magnam quisquam neque dolorem amet modi. Tempora est non sed dolorem quaerat etincidunt. Quaerat tempora eius quiquia ut adipisci. Aliquam ut aliquam porro. Aliquam aliquam sit quiquia. Est tempora dolor voluptatem eius amet., Eius quiquia non numquam porro quaerat amet. Labore modi neque aliquam quaerat. Amet tempora amet magnam ut ut non. Numquam tempora ipsum porro velit neque quiquia. Modi neque modi velit. Modi ut tempora neque consectetur dolore non adipisci.
