nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Mara Maier, maramaier@alunos.utfpr.edu.br, +55 21 99496-6471, 7044549, LICENCIATURA EM MATEMÁTICA, 3, CURITIBA, AVIÔNICA, ENERGIA, Sit dolor quisquam velit ut eius. Quisquam tempora non non amet. Non tempora velit amet quaerat ipsum magnam tempora. Etincidunt ipsum adipisci dolore. Consectetur dolor numquam porro porro eius adipisci porro., Sit quiquia porro dolorem sed. Modi modi dolorem adipisci numquam neque etincidunt. Modi etincidunt dolore porro modi. Consectetur non velit quisquam. Sit dolorem dolore sit. Magnam voluptatem eius consectetur tempora. Voluptatem consectetur consectetur amet. Dolor porro aliquam adipisci sit. Dolor est magnam dolore labore quiquia.
Susan Purdy, susanpurdy@alunos.utfpr.edu.br, +55 26 94756-8918, 8029290, LICENCIATURA EM LETRAS PORTUGUÊS, 3, CURITIBA, AVIÔNICA, ENERGIA, Dolore amet adipisci adipisci neque quiquia quaerat. Velit labore ut magnam ut tempora neque. Dolorem aliquam numquam adipisci. Quisquam sit velit sit ipsum magnam etincidunt. Tempora dolore non est ipsum. Quisquam non non neque quaerat labore. Ipsum dolore etincidunt ut. Quiquia eius neque neque est aliquam., Velit dolor aliquam consectetur aliquam. Dolorem voluptatem adipisci ipsum dolore dolore porro eius. Tempora est neque adipisci. Neque etincidunt porro aliquam ut eius. Sit eius dolorem voluptatem. Voluptatem velit dolor dolore dolorem est. Quiquia ut voluptatem quiquia.
Norma Cecil, normacecil@alunos.utfpr.edu.br, +55 30 95114-6651, 4165017, AGRONOMIA, 9, PATO BRANCO, AVIÔNICA, ENERGIA, Porro sit consectetur non sed labore. Magnam consectetur labore dolore aliquam quaerat sit. Consectetur non tempora ipsum eius tempora velit consectetur. Etincidunt neque sit sed dolor sed. Quiquia dolor sit non. Ut aliquam neque numquam quisquam eius. Dolor quisquam sit labore dolor consectetur velit. Neque ut porro etincidunt eius numquam etincidunt amet., Amet numquam est etincidunt quiquia. Dolore magnam quisquam modi etincidunt. Voluptatem sit est labore voluptatem. Ipsum modi modi quisquam sit. Quiquia porro etincidunt velit labore. Quisquam magnam dolor est. Sed velit sed eius etincidunt dolore amet labore. Quaerat eius etincidunt quaerat adipisci. Eius sit dolorem quaerat.
Richard Elliott, richardelliott@alunos.utfpr.edu.br, +55 62 99275-1051, 3654540, ENGENHARIA ELETRÔNICA, 4, CURITIBA, AVIÔNICA, ENERGIA, Sed voluptatem ut ipsum dolore dolore porro. Etincidunt labore amet dolorem numquam etincidunt consectetur quaerat. Quiquia numquam porro quaerat modi etincidunt consectetur numquam. Non velit sit labore ipsum sed. Dolor non est ipsum adipisci labore consectetur labore. Quaerat quisquam magnam numquam quaerat quiquia ut porro. Dolor velit voluptatem ipsum labore tempora. Quisquam etincidunt dolor quisquam magnam. Dolor non est neque magnam etincidunt modi., Adipisci modi sed voluptatem. Velit labore tempora est quisquam dolorem neque. Neque velit adipisci est eius voluptatem. Sit quaerat non consectetur quisquam modi sit quisquam. Quisquam ipsum quiquia sed porro. Ipsum sit velit adipisci. Modi eius consectetur non sed etincidunt. Aliquam eius amet tempora sed.
Kimberly Jensen, kimberlyjensen@alunos.utfpr.edu.br, +55 66 97117-2379, 9459780, BACHARELADO EM ENGENHARIA DE SOFTWARE, 1, DOIS VIZINHOS, MECÂNICA, PROJETOS MECÂNICOS, Quaerat ipsum eius dolorem. Velit quisquam neque quaerat quaerat consectetur. Dolorem modi neque neque. Consectetur quiquia amet numquam non amet. Magnam voluptatem etincidunt voluptatem quiquia numquam ipsum adipisci. Tempora tempora velit quisquam ut consectetur. Ipsum consectetur aliquam dolor quiquia. Quaerat quiquia voluptatem modi. Est etincidunt quisquam numquam., Quiquia quaerat etincidunt amet sit sit quaerat tempora. Adipisci quaerat non consectetur. Amet adipisci amet consectetur magnam dolor aliquam. Ut tempora est etincidunt modi voluptatem sit magnam. Eius ipsum voluptatem numquam. Sed quisquam dolor dolore dolorem. Ipsum aliquam ipsum labore quiquia dolorem. Dolor dolore quaerat ipsum aliquam adipisci etincidunt. Sit magnam ut dolor consectetur dolor. Sed eius labore quaerat amet est quisquam.
Eric Larochelle, ericlarochelle@alunos.utfpr.edu.br, +55 97 95962-6776, 3939924, CIÊNCIAS CONTÁBEIS, 8, PATO BRANCO, MECÂNICA, PROJETOS MECÂNICOS, Modi aliquam sit dolor quisquam quiquia. Adipisci porro porro sit dolor. Numquam non velit quiquia eius ut eius. Adipisci adipisci consectetur numquam. Sed modi non numquam neque est. Ut quaerat ut voluptatem tempora sit aliquam. Dolor magnam porro quaerat ipsum quaerat dolore ipsum. Quisquam dolor aliquam dolore velit porro etincidunt consectetur., Porro eius adipisci etincidunt. Ut ut quiquia numquam dolor non dolorem. Voluptatem eius magnam quisquam modi ipsum. Tempora magnam ut neque. Est est labore etincidunt voluptatem est. Est dolorem adipisci aliquam neque dolor adipisci. Eius quaerat aliquam quisquam tempora. Non labore etincidunt modi adipisci ipsum voluptatem.
John Pearson, johnpearson@alunos.utfpr.edu.br, +55 76 91543-0051, 2409521, TECNOLOGIA EM GESTÃO AMBIENTAL, 7, MEDIANEIRA, MECÂNICA, PROJETOS MECÂNICOS, Quisquam dolore ipsum dolorem. Quisquam ipsum dolor magnam. Non quiquia ut quisquam. Aliquam etincidunt ipsum consectetur etincidunt. Labore dolore porro sed adipisci amet dolorem etincidunt., Dolor voluptatem eius quaerat est. Etincidunt velit non quiquia quaerat. Etincidunt dolorem tempora ut tempora. Quiquia sit quiquia amet dolorem ut. Quisquam ut quiquia modi velit porro eius. Magnam modi quiquia consectetur. Sed consectetur neque est ut eius neque. Tempora quisquam neque modi numquam quiquia quaerat.
James Dunaway, jamesdunaway@alunos.utfpr.edu.br, +55 88 90688-8511, 6288067, ENGENHARIA QUÍMICA, 6, LONDRINA, MECÂNICA, PROJETOS MECÂNICOS, Sed dolor quisquam dolore ut ipsum velit. Modi porro non dolor ipsum tempora eius sit. Sit consectetur amet porro adipisci etincidunt voluptatem neque. Adipisci tempora non adipisci labore numquam est etincidunt. Consectetur voluptatem sed voluptatem., Dolorem neque non porro est quaerat numquam ipsum. Quiquia non amet dolor. Voluptatem modi quaerat aliquam porro sit est sed. Amet est quaerat quaerat adipisci eius quiquia. Voluptatem neque porro neque. Ipsum dolore labore ipsum. Consectetur magnam etincidunt sed dolorem. Quaerat consectetur quiquia velit numquam magnam. Etincidunt voluptatem sed dolore. Ut est voluptatem quisquam numquam ut non non.
Paul Anderson, paulanderson@alunos.utfpr.edu.br, +55 11 90980-9601, 1696564, COMUNICAÇÃO ORGANIZACIONAL, 3, CURITIBA, PESQUISA E EXTENSÃO, PESQUISA E EXTENSÃO, Modi dolorem labore magnam quaerat. Velit sit adipisci tempora magnam quisquam dolorem. Modi eius non est labore neque eius quisquam. Quaerat modi ut consectetur. Ut amet consectetur amet numquam velit., Tempora velit dolorem consectetur. Consectetur labore modi quaerat labore quaerat voluptatem etincidunt. Sit adipisci quaerat quaerat ut dolore. Ut tempora ipsum magnam. Dolor dolorem aliquam tempora etincidunt dolore est dolore. Velit quaerat adipisci tempora etincidunt numquam.
Maria Blackburn, mariablackburn@alunos.utfpr.edu.br, +55 41 93959-3519, 4303855, TECNOLOGIA EM MANUTENÇÃO INDUSTRIAL, 2, GUARAPUAVA, PESQUISA E EXTENSÃO, PESQUISA E EXTENSÃO, Voluptatem modi modi tempora sit. Aliquam porro quisquam est est est neque sed. Velit tempora modi sit. Tempora tempora modi aliquam labore quiquia. Labore dolore numquam modi., Voluptatem est consectetur eius. Dolorem adipisci dolorem adipisci dolore porro ipsum numquam. Eius ipsum aliquam labore non labore aliquam modi. Magnam dolor magnam voluptatem labore velit quaerat eius. Sed eius etincidunt dolor ut magnam sit porro.
