nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Toni Jarvis, tonijarvis@alunos.utfpr.edu.br, +55 84 94125-2396, 2917380, ENGENHARIA ELÉTRICA, 5, PATO BRANCO, ADMINISTRATIVO, OPERAÇÕES ADMINISTRATIVAS, Voluptatem etincidunt aliquam porro dolore. Velit labore quiquia neque sed. Tempora sed quaerat dolor consectetur. Dolorem eius porro tempora porro neque numquam labore. Neque porro quisquam ipsum porro amet. Labore tempora voluptatem amet consectetur. Sed quiquia voluptatem sed quiquia quaerat amet. Magnam adipisci porro neque ipsum. Amet sed est sit., Etincidunt tempora dolore consectetur magnam. Sit ipsum sed est quisquam dolor. Quaerat consectetur amet sit est. Neque adipisci quisquam sit adipisci. Velit modi quiquia consectetur sit adipisci. Dolorem tempora non dolore dolor modi adipisci.
Katherine Cranford, katherinecranford@alunos.utfpr.edu.br, +55 55 92787-7104, 1513501, TECNOLOGIA EM DESIGN DE MODA, 1, APUCARANA, ADMINISTRATIVO, OPERAÇÕES ADMINISTRATIVAS, Dolorem velit ipsum dolor. Quisquam tempora ipsum quiquia quaerat. Voluptatem ipsum non dolorem sed sit. Aliquam dolor consectetur est modi magnam sit. Adipisci ipsum velit amet dolor amet dolore. Quiquia sit neque quiquia. Modi neque etincidunt dolor dolor etincidunt non. Magnam neque quaerat tempora quaerat modi labore. Aliquam ipsum etincidunt quiquia. Amet magnam quiquia sed magnam magnam., Dolor quaerat numquam dolorem amet sed. Quiquia dolorem eius magnam. Tempora aliquam neque dolorem numquam eius modi porro. Sit porro modi quaerat magnam. Quiquia dolore sed quisquam sit est quaerat. Dolorem dolorem eius adipisci ut sed ipsum est. Magnam voluptatem adipisci sed. Aliquam porro modi velit aliquam. Velit voluptatem neque tempora quiquia voluptatem dolor dolorem. Neque aliquam quisquam dolore numquam consectetur consectetur.
Melvin Skinner, melvinskinner@alunos.utfpr.edu.br, +55 51 90707-6098, 2075966, ENGENHARIA TÊXTIL, 8, APUCARANA, ADMINISTRATIVO, OPERAÇÕES ADMINISTRATIVAS, Etincidunt velit velit amet. Quaerat dolor non aliquam consectetur. Tempora quaerat non adipisci est dolor amet non. Dolor sed aliquam magnam modi etincidunt magnam ipsum. Quiquia quiquia etincidunt quisquam dolore. Non dolor quisquam ipsum porro est non adipisci., Numquam aliquam etincidunt ut amet quisquam. Labore numquam magnam ipsum magnam non dolorem non. Neque magnam amet amet quaerat quiquia. Dolor labore velit porro. Numquam amet quaerat quiquia. Porro non labore neque amet sed. Adipisci tempora tempora aliquam ipsum. Non voluptatem labore tempora ipsum. Ipsum labore quaerat magnam modi eius.
Evelyn Henderson, evelynhenderson@alunos.utfpr.edu.br, +55 22 95639-5757, 3012818, ARQUITETURA E URBANISMO, 2, CURITIBA, AVIÔNICA, ENERGIA, Numquam velit magnam magnam voluptatem voluptatem. Dolore quiquia velit sed velit voluptatem non numquam. Sit quiquia tempora neque ut. Aliquam aliquam ipsum amet. Tempora neque quiquia porro. Dolore est labore dolor magnam quisquam etincidunt. Dolorem quisquam quiquia dolorem sed quisquam. Adipisci quisquam est voluptatem etincidunt quiquia velit., Consectetur etincidunt numquam etincidunt dolorem magnam aliquam. Modi sed quisquam sit quisquam tempora. Etincidunt ut quiquia eius quisquam quaerat. Ut ut quiquia amet. Modi ipsum porro dolore tempora dolor.
Pat Davis, patdavis@alunos.utfpr.edu.br, +55 66 90707-4131, 9214602, CIÊNCIAS CONTÁBEIS, 3, PATO BRANCO, PESQUISA E EXTENSÃO, PESQUISA E EXTENSÃO, Adipisci consectetur labore aliquam amet. Magnam porro ipsum modi numquam. Eius numquam quiquia eius sit modi. Non quisquam dolorem dolor dolore magnam. Sed adipisci eius velit eius ipsum quiquia. Amet neque modi labore. Est etincidunt porro ut sit dolore. Ipsum sit quisquam numquam magnam sit velit. Sit sed sit magnam dolor neque sit ut. Modi aliquam quisquam adipisci magnam ut., Eius velit sit quisquam ut. Modi consectetur velit consectetur neque. Tempora sed numquam magnam velit. Eius eius sit quisquam quaerat. Ut sed labore ipsum quisquam aliquam quiquia eius. Voluptatem ipsum aliquam aliquam neque sed. Ipsum quisquam eius ut labore. Tempora est amet ipsum.
Esther Igtanloc, estherigtanloc@alunos.utfpr.edu.br, +55 59 95138-4789, 9687848, LICENCIATURA EM FÍSICA, 8, CURITIBA, PESQUISA E EXTENSÃO, PESQUISA E EXTENSÃO, Quisquam voluptatem non est. Dolorem eius eius ipsum voluptatem amet. Magnam modi numquam ut dolore est sed. Labore etincidunt modi amet. Ut amet non neque eius quiquia. Dolor modi sed quisquam modi consectetur. Numquam dolor quaerat est modi. Quisquam ut quisquam adipisci sed dolor non. Quiquia aliquam labore eius., Quisquam aliquam ut labore velit tempora. Ut velit dolore porro porro ipsum tempora est. Non est quisquam etincidunt velit. Aliquam sit tempora ut non. Sit consectetur sit quaerat dolor consectetur sed consectetur. Ut non quiquia porro etincidunt neque dolore. Est neque quaerat quisquam dolore ut neque est.
Charles Waldron, charleswaldron@alunos.utfpr.edu.br, +55 10 97432-6139, 8207331, LICENCIATURA EM LETRAS INGLÊS, 7, CURITIBA, PESQUISA E EXTENSÃO, PESQUISA E EXTENSÃO, Tempora velit quisquam quisquam modi est ut. Numquam dolore quisquam quisquam. Quiquia ut magnam neque porro adipisci sit voluptatem. Ipsum magnam amet dolor. Aliquam dolor eius magnam quiquia ut. Quaerat velit numquam est amet quiquia etincidunt. Sit consectetur quiquia sit. Non dolorem consectetur dolore consectetur., Ipsum velit sit non dolore quisquam dolore. Ut dolor ut etincidunt. Velit consectetur labore velit adipisci consectetur quisquam ipsum. Eius quisquam magnam dolor eius consectetur. Voluptatem quiquia adipisci etincidunt. Dolorem adipisci porro voluptatem sed velit modi labore. Quaerat neque ipsum aliquam ipsum velit. Magnam velit adipisci magnam consectetur. Dolor aliquam neque dolorem.
James Frazier, jamesfrazier@alunos.utfpr.edu.br, +55 26 92903-9074, 9290139, TECNOLOGIA EM DESIGN GRÁFICO, 3, CURITIBA, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Dolor ut tempora voluptatem amet sit. Non amet sed velit est voluptatem. Non amet tempora labore quisquam numquam. Ut ut aliquam dolore velit labore labore quaerat. Amet dolorem etincidunt labore. Adipisci amet labore etincidunt. Neque modi ipsum modi voluptatem dolore quaerat velit. Porro tempora velit porro. Magnam tempora modi etincidunt velit sed eius adipisci., Labore est consectetur modi. Sed dolorem dolorem aliquam neque. Velit non aliquam etincidunt tempora quisquam neque. Voluptatem porro modi voluptatem sit est velit quisquam. Quaerat voluptatem numquam etincidunt consectetur ut sed magnam. Tempora dolorem quisquam neque eius neque. Tempora quaerat non consectetur. Consectetur dolorem dolor ipsum quiquia. Quisquam quisquam sed labore non non est etincidunt.
Michelle Goode, michellegoode@alunos.utfpr.edu.br, +55 91 92863-5803, 3011700, TECNOLOGIA EM DESIGN GRÁFICO, 6, CURITIBA, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Numquam numquam adipisci porro. Ipsum velit numquam velit dolor quiquia voluptatem. Dolorem dolorem ut dolor velit. Dolor sed amet numquam adipisci tempora modi. Est modi quaerat consectetur sit sit etincidunt. Sed amet ut sit. Sit tempora labore dolorem modi etincidunt magnam tempora. Eius ipsum numquam eius magnam non. Est modi quisquam etincidunt ut. Sed non magnam dolor ut dolore., Est sed quiquia amet eius. Quiquia quaerat sit dolore eius non. Velit aliquam non eius sit. Dolor consectetur sed quiquia amet ut labore quisquam. Sit voluptatem est dolore ut velit. Tempora non quaerat neque. Dolorem porro neque ipsum dolor porro ut. Dolorem eius labore quiquia modi aliquam. Est adipisci porro quiquia labore.
Marie Kemp, mariekemp@alunos.utfpr.edu.br, +55 58 91911-0186, 3945764, ENGENHARIA DE CONTROLE E AUTOMAÇÃO, 4, CURITIBA, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Dolor ipsum neque labore. Velit sed amet numquam numquam. Adipisci porro sit tempora consectetur non. Est quiquia aliquam neque quisquam eius. Quaerat quaerat consectetur dolorem sed eius. Modi quaerat quaerat non labore magnam tempora quaerat. Eius velit etincidunt sed labore., Dolor ut dolore voluptatem eius. Dolorem est amet numquam est dolorem magnam quiquia. Porro dolore velit etincidunt adipisci. Consectetur sit magnam tempora. Tempora magnam porro voluptatem sed est. Numquam neque amet etincidunt.
