nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Evelyn Aldous, evelynaldous@alunos.utfpr.edu.br, +55 18 92127-1948, 1401547, ENGENHARIA AMBIENTAL, 8, MEDIANEIRA, AVIÔNICA, ACIONAMENTO, Quisquam ipsum sit sed etincidunt sit quaerat. Voluptatem consectetur amet ipsum neque magnam ut. Quisquam sed aliquam magnam neque adipisci. Dolorem aliquam modi quisquam dolor dolore. Est adipisci non porro. Dolor modi sit quiquia est. Non dolor velit modi. Modi porro quiquia sed ipsum aliquam., Aliquam voluptatem numquam magnam tempora. Modi magnam aliquam dolor. Amet dolor ipsum aliquam amet. Eius labore sit sed voluptatem aliquam sit ipsum. Numquam ut sit quisquam est quaerat. Eius est non quiquia. Sit magnam sed eius ut. Modi ipsum est quisquam numquam adipisci quisquam non. Amet dolore velit eius labore.
Douglas Smith, douglassmith@alunos.utfpr.edu.br, +55 35 90615-6089, 6207455, TECNOLOGIA EM DESIGN GRÁFICO, 3, CURITIBA, AVIÔNICA, ACIONAMENTO, Porro numquam quaerat modi. Sit quaerat ipsum dolorem amet tempora neque. Quaerat voluptatem adipisci consectetur numquam non neque. Ipsum etincidunt labore eius sed labore eius. Ut dolore numquam voluptatem quisquam., Eius quiquia dolorem sed. Est quisquam voluptatem consectetur numquam. Etincidunt porro magnam etincidunt non modi etincidunt. Sit porro ut adipisci etincidunt voluptatem tempora. Neque ipsum eius modi ipsum tempora. Amet sit velit dolorem ut porro. Adipisci etincidunt quaerat dolore etincidunt. Quiquia amet voluptatem labore sit tempora amet consectetur. Dolore sit eius dolor. Magnam ut quiquia velit dolor.
Jennifer Mckee, jennifermckee@alunos.utfpr.edu.br, +55 13 94862-0401, 9654782, TECNOLOGIA EM SISTEMAS PARA INTERNET, 6, TOLEDO, MECÂNICA, SIMULAÇÃO, Dolorem dolor sed dolorem numquam. Eius numquam adipisci ipsum dolor amet quisquam. Numquam ipsum dolore quisquam etincidunt. Dolor sed quaerat sit quaerat numquam modi labore. Amet est tempora quisquam non. Amet dolore non consectetur amet. Ipsum consectetur eius magnam consectetur non dolor. Aliquam neque quaerat quiquia. Porro adipisci eius labore dolorem modi ut amet., Velit neque dolorem magnam dolore sit voluptatem. Voluptatem tempora dolorem numquam est neque. Adipisci ut velit eius dolore. Etincidunt adipisci dolore adipisci dolor dolorem dolorem. Quiquia etincidunt ut est eius porro labore. Magnam sit non quiquia adipisci aliquam quaerat.
Yaeko Cueto, yaekocueto@alunos.utfpr.edu.br, +55 79 97546-5070, 6187662, SISTEMA DE INFORMAÇÃO, 8, CURITIBA, PESQUISA E EXTENSÃO, EXTENSÃO, Numquam etincidunt sit porro dolorem labore amet. Ut labore quiquia porro ipsum porro ipsum quisquam. Non eius tempora etincidunt tempora. Quiquia ipsum magnam dolorem. Consectetur eius labore magnam. Dolor dolore ipsum voluptatem tempora quisquam. Porro tempora consectetur est., Ut dolor etincidunt labore consectetur amet. Velit tempora eius labore. Dolorem amet est dolor labore dolore. Numquam neque ipsum porro adipisci amet dolore voluptatem. Non non dolorem labore porro etincidunt non dolore.
Chris Mcdonald, chrismcdonald@alunos.utfpr.edu.br, +55 64 94357-8285, 2101792, COMUNICAÇÃO ORGANIZACIONAL, 3, CURITIBA, COMPUTAÇÃO, PROJETOS COMPUTACIONAIS, Sit tempora consectetur ipsum. Tempora sed porro consectetur. Velit non neque adipisci non consectetur. Quisquam neque eius dolor tempora. Magnam non velit tempora sit. Numquam sed porro magnam. Velit porro dolor quaerat neque voluptatem eius. Velit non voluptatem labore tempora porro quisquam., Dolor aliquam amet quisquam magnam tempora est. Modi ipsum adipisci porro. Sit sit quisquam modi ut quaerat voluptatem. Etincidunt voluptatem etincidunt sed tempora tempora numquam. Consectetur sit quisquam ipsum magnam magnam etincidunt ut.
Mary Martinez, marymartinez@alunos.utfpr.edu.br, +55 54 90866-8056, 8069224, ENGENHARIA QUÍMICA, 9, APUCARANA, COMPUTAÇÃO, PROJETOS COMPUTACIONAIS, Non quaerat sed eius quisquam. Eius modi eius quiquia. Adipisci dolore neque sit. Quisquam adipisci quaerat dolore est. Ipsum quaerat ut aliquam. Ut aliquam magnam adipisci voluptatem dolorem sit. Est etincidunt eius sed quaerat adipisci. Quisquam ipsum porro non porro. Neque non modi numquam tempora aliquam dolorem., Sed est consectetur aliquam quisquam sed labore. Quiquia porro eius sed velit ipsum quisquam labore. Dolore tempora sed quisquam porro numquam sit tempora. Adipisci sed ipsum neque numquam neque. Tempora sit adipisci quisquam dolor. Quaerat neque voluptatem dolore amet. Tempora dolore amet neque voluptatem aliquam sed.
Karen Matsuno, karenmatsuno@alunos.utfpr.edu.br, +55 76 98679-4937, 1101298, ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA, 5, PONTA GROSSA, COMPUTAÇÃO, PROJETOS COMPUTACIONAIS, Tempora sit dolor etincidunt. Sed sed etincidunt consectetur numquam dolorem quisquam. Modi modi amet est dolor. Sit dolorem sed porro sit. Porro porro quaerat numquam. Numquam dolorem aliquam numquam non neque. Labore velit modi magnam. Etincidunt est sit sed. Modi aliquam labore quisquam tempora ipsum ipsum. Eius labore dolorem non neque quaerat magnam., Sed numquam sed ut. Eius voluptatem numquam aliquam est amet dolore numquam. Quiquia ut aliquam tempora labore magnam neque. Quiquia modi dolorem adipisci ipsum. Tempora dolorem quaerat sed neque etincidunt. Non porro tempora modi. Adipisci velit tempora adipisci dolor quiquia numquam. Quiquia quiquia velit ut ut quisquam. Adipisci quiquia labore non aliquam sed. Quiquia neque amet aliquam ut tempora.
Kenneth Smith, kennethsmith@alunos.utfpr.edu.br, +55 11 98952-4081, 6525578, ENGENHARIA MECATRÔNICA, 5, CURITIBA, COMPUTAÇÃO, PROJETOS COMPUTACIONAIS, Quiquia consectetur ipsum ut modi voluptatem. Dolor porro amet voluptatem tempora. Dolorem magnam dolore dolorem. Sit sed est consectetur neque. Modi neque eius dolore amet dolorem est., Magnam voluptatem amet non sit etincidunt. Neque neque voluptatem tempora non amet voluptatem. Eius etincidunt etincidunt magnam etincidunt non. Dolore porro quisquam eius est quiquia quisquam. Labore sit sit neque.
Nicole Yentsch, nicoleyentsch@alunos.utfpr.edu.br, +55 44 97956-6225, 7987321, CIÊNCIA DA COMPUTAÇÃO, 7, PONTA GROSSA, COMPUTAÇÃO, PROJETOS COMPUTACIONAIS, Amet porro quaerat amet consectetur ut. Ipsum voluptatem eius etincidunt. Voluptatem porro eius ut consectetur aliquam non non. Porro sit porro tempora sed dolore voluptatem. Dolore sed labore dolore quisquam tempora modi. Magnam ut etincidunt numquam tempora est. Aliquam labore porro consectetur neque dolorem porro dolorem., Neque ipsum ipsum dolorem amet aliquam magnam. Ut amet magnam voluptatem sed. Eius aliquam magnam quiquia dolorem amet. Ipsum non porro velit labore etincidunt etincidunt eius. Eius labore quiquia quisquam dolorem non. Dolor labore quaerat quisquam consectetur amet velit. Sed magnam consectetur dolorem sit sit non.
Rita Zambrano, ritazambrano@alunos.utfpr.edu.br, +55 22 92510-2660, 5004831, DESIGN, 8, CURITIBA, COMPUTAÇÃO, PROJETOS COMPUTACIONAIS, Quaerat adipisci etincidunt aliquam etincidunt porro. Aliquam labore eius adipisci neque voluptatem quiquia. Quaerat non porro aliquam tempora quaerat quaerat porro. Non ut dolore quaerat. Sed sit quiquia sed tempora quaerat amet., Aliquam dolore quisquam porro amet quaerat magnam non. Etincidunt dolor adipisci ipsum labore consectetur numquam. Quiquia est labore modi etincidunt. Aliquam porro quisquam dolorem aliquam numquam. Amet ut adipisci dolorem eius.
