nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Curtis Owston, curtisowston@alunos.utfpr.edu.br, +55 96 90700-7896, 5325598, TECNOLOGIA EM FABRICAÇÃO MECÂNICA, 6, PONTA GROSSA, AVIÔNICA, AVIÔNICA, Ut dolorem aliquam numquam porro porro. Neque adipisci dolor eius tempora quaerat sit est. Labore etincidunt ut adipisci quaerat labore dolorem. Ipsum numquam aliquam dolorem velit. Dolore labore porro sit. Dolor est tempora sed etincidunt. Voluptatem dolorem eius modi adipisci., Velit ipsum aliquam tempora. Sit dolore tempora quiquia aliquam adipisci. Dolore dolore quiquia est. Ipsum dolor voluptatem voluptatem eius voluptatem aliquam. Porro dolore quaerat aliquam tempora.
Leah Hoover, leahhoover@alunos.utfpr.edu.br, +55 80 95257-3897, 5665481, DESIGN, 6, CURITIBA, PESQUISA E EXTENSÃO, EXTENSÃO, Quaerat consectetur sed quaerat quaerat adipisci. Quiquia magnam dolorem tempora sit sed tempora sit. Aliquam consectetur dolor ut ut velit. Porro etincidunt ut aliquam quiquia quiquia dolor amet. Numquam tempora non ut quisquam., Modi consectetur ut velit dolore aliquam etincidunt. Dolorem ut quisquam quisquam non velit modi. Adipisci velit dolorem numquam quaerat modi velit modi. Sed quisquam velit voluptatem. Sed ut dolorem aliquam sed velit est non.
Linda Rose, lindarose@alunos.utfpr.edu.br, +55 49 91143-1671, 4751865, LICENCIATURA EM MATEMÁTICA, 7, TOLEDO, PESQUISA E EXTENSÃO, EXTENSÃO, Quiquia dolorem amet est dolorem ut. Quisquam modi quiquia non dolor amet sed. Voluptatem non dolorem non etincidunt magnam quisquam quisquam. Quaerat est neque non numquam. Quiquia quisquam adipisci dolor eius modi aliquam tempora. Etincidunt consectetur non etincidunt. Quisquam est numquam tempora consectetur., Ipsum modi numquam magnam. Non voluptatem voluptatem sit aliquam amet quisquam. Dolor dolore labore sit. Numquam sed modi labore quiquia etincidunt quaerat eius. Neque tempora aliquam etincidunt. Porro sed velit etincidunt consectetur.
Jon Smith, jonsmith@alunos.utfpr.edu.br, +55 97 98771-6324, 2813590, ENGENHARIA TÊXTIL, 3, APUCARANA, AVIÔNICA, AVIÔNICA, Dolor amet etincidunt quisquam labore voluptatem quiquia. Dolore velit neque neque est ut voluptatem neque. Tempora non sit voluptatem voluptatem neque modi sed. Etincidunt dolor non modi. Voluptatem quisquam tempora magnam neque non labore. Voluptatem voluptatem quisquam dolorem dolorem amet consectetur., Tempora adipisci magnam sit adipisci voluptatem. Porro numquam porro voluptatem amet. Neque tempora quaerat velit etincidunt. Sit numquam labore porro numquam numquam amet voluptatem. Velit magnam voluptatem velit sit labore.
nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Charles Stewart, charlesstewart@alunos.utfpr.edu.br, +55 63 98483-5296, 2839500, CIÊNCIA DA COMPUTAÇÃO, 4, PONTA GROSSA, PESQUISA E EXTENSÃO, EXTENSÃO, Labore quaerat numquam dolore sed. Neque aliquam amet sed consectetur dolore adipisci. Porro quisquam quiquia ipsum. Tempora modi dolorem neque magnam numquam. Labore sed etincidunt ipsum modi dolorem. Non modi voluptatem magnam labore voluptatem., Ipsum quiquia tempora aliquam numquam. Est adipisci modi est amet dolor. Est modi eius dolor. Dolore sit dolorem dolor dolore adipisci labore non. Sit consectetur labore ipsum voluptatem dolore. Velit porro tempora dolore magnam non. Eius est adipisci non numquam dolor. Porro magnam tempora voluptatem dolorem sed.
Adam Johnson, adamjohnson@alunos.utfpr.edu.br, +55 67 93963-2106, 1973464, ARQUITETURA E URBANISMO, 1, CURITIBA, PESQUISA E EXTENSÃO, EXTENSÃO, Adipisci amet aliquam quisquam quiquia. Dolorem amet ut etincidunt quaerat consectetur. Porro velit ut aliquam. Quisquam sed neque numquam etincidunt. Ipsum est numquam porro quaerat ipsum modi aliquam. Voluptatem ipsum eius eius., Magnam tempora non modi. Quiquia amet consectetur etincidunt neque. Amet porro magnam consectetur. Non sed modi consectetur adipisci. Consectetur sed consectetur voluptatem quisquam dolore.
Sharon Magee, sharonmagee@alunos.utfpr.edu.br, +55 66 95913-3161, 7888476, TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS, 4, PONTA GROSSA, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Dolorem dolorem tempora velit dolorem amet. Adipisci velit tempora neque tempora labore. Dolorem quiquia amet quaerat. Quiquia neque porro magnam porro dolore labore consectetur. Amet neque est porro dolorem ipsum. Quisquam velit labore voluptatem voluptatem. Dolorem consectetur voluptatem sed sed dolorem. Consectetur dolore dolor eius quisquam quiquia. Dolor amet etincidunt tempora ut ut neque. Ut dolore amet ut modi adipisci numquam., Tempora porro dolor magnam quiquia tempora sed magnam. Dolor labore magnam amet ipsum modi etincidunt. Est adipisci est numquam ut ipsum. Ut consectetur voluptatem voluptatem consectetur. Quiquia dolore porro quisquam aliquam. Dolorem tempora quaerat sit non neque magnam ut.
Maria Newton, marianewton@alunos.utfpr.edu.br, +55 90 96015-3979, 5433862, ENGENHARIA CIVIL, 6, CAMPO MOURÃO, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Dolore modi sit dolor velit. Est velit dolore quisquam eius ipsum. Quisquam magnam sed etincidunt labore quaerat. Labore porro labore voluptatem sit ut dolorem. Tempora labore labore amet magnam dolor ipsum dolor., Numquam neque amet quaerat sit. Eius eius quaerat non numquam sed labore. Non ut neque voluptatem porro non quaerat. Numquam est quisquam non non voluptatem ipsum. Modi modi dolorem labore dolorem est velit neque. Quisquam magnam modi non. Etincidunt dolore dolor dolorem.
Eric Hamill, erichamill@alunos.utfpr.edu.br, +55 61 94658- 340, 3738781, ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA, 3, DOIS VIZINHOS, ADMINISTRATIVO, COMUNICAÇÃO, Dolorem aliquam ipsum voluptatem quaerat quaerat etincidunt. Eius aliquam labore dolorem labore aliquam. Numquam adipisci eius consectetur. Non voluptatem sit magnam adipisci consectetur. Eius quaerat quaerat amet amet quisquam dolor. Ut est amet dolore. Ipsum ipsum eius etincidunt numquam modi ipsum. Consectetur dolore adipisci sit sit., Quaerat modi modi est tempora ipsum dolorem consectetur. Modi dolor quaerat ipsum labore quisquam velit aliquam. Quisquam numquam etincidunt numquam dolor. Adipisci quiquia sit ut ut velit. Magnam aliquam dolor amet non consectetur. Ipsum amet porro ut est est. Ipsum tempora dolorem neque. Velit labore adipisci numquam neque. Ut numquam velit quaerat velit voluptatem. Adipisci eius dolore quiquia magnam.
