nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Alton Menard, altonmenard@alunos.utfpr.edu.br, +55 37 91446-8330, 6402060, TECNOLOGIA EM GESTÃO AMBIENTAL, 4, MEDIANEIRA, ADMINISTRATIVO, FINANCEIRO, Velit neque ipsum neque etincidunt. Tempora modi dolor dolorem voluptatem etincidunt numquam tempora. Dolore voluptatem eius est ut sed sit. Ut velit quisquam aliquam voluptatem quisquam quisquam non. Quisquam numquam aliquam magnam. Voluptatem labore sed voluptatem porro sed etincidunt. Est amet neque quaerat. Dolor labore quaerat neque modi labore quisquam., Consectetur ipsum tempora quaerat est tempora adipisci. Quisquam porro sed velit quaerat etincidunt modi. Numquam non ipsum dolor non dolorem ut. Voluptatem ipsum consectetur consectetur adipisci. Quiquia velit ipsum magnam. Ipsum aliquam amet eius ut voluptatem. Consectetur aliquam quaerat modi quaerat modi amet dolor.
Danny Thompson, dannythompson@alunos.utfpr.edu.br, +55 59 96834-9381, 4243036, CIÊNCIA DA COMPUTAÇÃO, 1, PONTA GROSSA, AVIÔNICA, ENERGIA, Ut ut voluptatem quiquia. Labore modi etincidunt labore. Modi adipisci eius numquam sit tempora quiquia. Quaerat quiquia consectetur dolor ut dolor. Dolor modi velit aliquam quisquam sit., Numquam velit consectetur consectetur ut. Adipisci sit dolorem etincidunt dolore magnam tempora ipsum. Etincidunt amet dolor labore labore modi quisquam non. Non dolor numquam adipisci aliquam voluptatem. Adipisci ut dolor tempora sit sit neque.
Jaqueline Fountain, jaquelinefountain@alunos.utfpr.edu.br, +55 42 95630-5893, 8232516, TECNOLOGIA EM MANUTENÇÃO INDUSTRIAL, 8, PATO BRANCO, AVIÔNICA, ENERGIA, Quaerat ipsum quiquia dolore aliquam quaerat amet tempora. Dolore amet ipsum ipsum velit voluptatem. Consectetur quiquia modi modi amet sit ipsum consectetur. Consectetur eius non tempora tempora non. Neque tempora quisquam amet modi sed tempora velit., Sit eius quiquia adipisci ut velit etincidunt dolor. Tempora sed ut sed est. Porro dolore magnam sit adipisci velit ut. Sit adipisci quisquam adipisci quaerat amet. Dolorem consectetur quisquam dolorem aliquam voluptatem. Ut dolorem est sed. Sit adipisci modi quaerat. Quisquam voluptatem modi non non est voluptatem dolorem.
Raymond Pero, raymondpero@alunos.utfpr.edu.br, +55 18 90219-9646, 2094601, TECNOLOGIA EM PROCESSOS QUÍMICOS, 1, TOLEDO, AVIÔNICA, ENERGIA, Amet modi consectetur voluptatem dolorem eius est. Amet etincidunt adipisci voluptatem non. Dolor quisquam velit numquam. Neque dolorem quisquam labore numquam aliquam. Etincidunt consectetur dolor labore labore adipisci ut magnam. Tempora consectetur numquam eius quisquam. Modi est ut magnam dolor dolorem. Modi etincidunt est ipsum. Ut quiquia neque modi est., Ut modi aliquam modi tempora dolorem adipisci. Porro labore etincidunt non quisquam etincidunt est amet. Modi dolorem ipsum amet eius quiquia. Numquam quiquia tempora quaerat non magnam quiquia modi. Quiquia ut dolor adipisci. Eius ipsum consectetur dolor ipsum. Dolore porro velit magnam quaerat neque. Neque ut ut quaerat ipsum ipsum.
Kenneth Brown, kennethbrown@alunos.utfpr.edu.br, +55 22 91896-0883, 9240602, TECNOLOGIA EM FABRICAÇÃO MECÂNICA, 9, PONTA GROSSA, MECÂNICA, PROJETOS MECÂNICOS, Quiquia dolorem voluptatem eius ipsum. Etincidunt ipsum ipsum non. Neque dolor numquam ipsum eius quiquia tempora dolore. Est dolor est voluptatem velit. Eius aliquam modi modi., Sit quaerat magnam ut neque ipsum tempora. Magnam velit magnam numquam dolore dolor sed non. Est modi dolorem velit aliquam voluptatem consectetur modi. Ipsum quiquia quisquam consectetur ipsum aliquam. Etincidunt dolore consectetur aliquam modi ut adipisci eius. Magnam numquam porro voluptatem labore dolore. Est consectetur velit eius est. Non ut est consectetur ut quiquia. Adipisci numquam non adipisci. Velit tempora amet etincidunt.
Elsie Tang, elsietang@alunos.utfpr.edu.br, +55 13 98937-0282, 2824686, ENGENHARIA AMBIENTAL E SANITÁRIA, 7, CURITIBA, PESQUISA E EXTENSÃO, PESQUISA CIENTÍFICA, Numquam dolor sit tempora quisquam amet porro non. Non adipisci velit dolore eius etincidunt. Voluptatem aliquam consectetur numquam non. Quaerat amet eius ipsum magnam consectetur eius dolorem. Voluptatem ut aliquam labore numquam eius. Dolor consectetur quiquia magnam magnam ut quiquia porro. Porro ipsum sit sed numquam aliquam ut porro., Labore quisquam tempora numquam labore ut. Consectetur non quaerat quiquia sit ut aliquam. Voluptatem modi ipsum modi aliquam consectetur eius. Labore ut adipisci modi. Eius dolorem ipsum est dolore magnam. Sit ut velit etincidunt aliquam sit. Amet ut ut sed ut ipsum est magnam.
Carolyn Oliver, carolynoliver@alunos.utfpr.edu.br, +55 87 97565-7573, 3299269, ENGENHARIA ELÉTRICA, 6, PATO BRANCO, PESQUISA E EXTENSÃO, PESQUISA CIENTÍFICA, Est quiquia dolor adipisci neque adipisci. Dolor velit aliquam eius voluptatem dolor. Quisquam aliquam tempora dolorem magnam ut. Quiquia velit tempora quiquia sit. Velit magnam voluptatem dolore labore dolor dolor tempora., Consectetur non neque sed quisquam voluptatem sit quaerat. Non neque quisquam magnam est consectetur dolore dolore. Quisquam dolor dolor voluptatem magnam quisquam non dolorem. Dolor adipisci dolorem dolorem dolore labore numquam dolorem. Modi quaerat magnam dolor non. Amet quisquam quisquam dolore sit. Quiquia dolore neque non ut tempora magnam labore.
Jessica Lum, jessicalum@alunos.utfpr.edu.br, +55 13 96161-8417, 9860210, CIÊNCIA DA COMPUTAÇÃO, 4, PONTA GROSSA, PESQUISA E EXTENSÃO, PESQUISA CIENTÍFICA, Eius voluptatem quaerat quaerat amet. Quiquia porro ut ut ipsum adipisci ipsum. Labore ut tempora voluptatem. Eius adipisci eius voluptatem velit modi neque. Numquam velit etincidunt dolore est numquam. Tempora dolore non quiquia quaerat quaerat. Neque porro dolorem non velit. Dolorem consectetur aliquam ut etincidunt ut aliquam ut. Dolor magnam velit non., Neque quaerat dolore consectetur aliquam ipsum ut porro. Quiquia neque sit modi. Dolor modi velit modi dolore. Neque dolor magnam neque sit. Ipsum sit consectetur labore ipsum est modi. Modi non ipsum neque aliquam neque non. Est ut amet quisquam non. Adipisci ipsum dolore modi aliquam. Velit dolore adipisci labore velit ut est. Porro numquam consectetur amet ut voluptatem ipsum consectetur.
Paul Buchauer, paulbuchauer@alunos.utfpr.edu.br, +55 15 99059-4957, 8628950, ENGENHARIA FLORESTAL, 2, DOIS VIZINHOS, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Numquam porro quiquia voluptatem modi quiquia quisquam quaerat. Dolor porro sit magnam quaerat quisquam dolore. Magnam neque quisquam voluptatem tempora est adipisci. Amet sed velit ut eius. Sed neque quisquam voluptatem dolorem. Quaerat est adipisci dolore quiquia magnam labore. Ut quisquam est ut modi labore tempora est. Neque etincidunt aliquam sed modi quaerat. Quiquia velit sed modi aliquam aliquam dolor. Quisquam magnam ut sed sed eius numquam porro., Dolorem amet dolorem quiquia velit. Non non velit porro consectetur ipsum labore modi. Porro amet velit sed quaerat adipisci modi. Neque sed neque consectetur dolorem numquam dolore. Modi etincidunt quiquia ipsum quisquam non. Quisquam etincidunt amet sed. Labore porro quaerat amet modi. Est dolore dolorem neque voluptatem. Sed etincidunt ut velit dolor porro. Aliquam tempora amet etincidunt modi quaerat dolor dolorem.
Guillermo Seng, guillermoseng@alunos.utfpr.edu.br, +55 54 91391-4783, 4849224, AGRONOMIA, 1, DOIS VIZINHOS, COMPUTAÇÃO, INTELIGÊNCIA ARTIFICIAL, Porro voluptatem etincidunt neque. Neque magnam numquam est tempora aliquam. Velit velit magnam adipisci labore dolorem. Adipisci numquam aliquam consectetur ut quiquia. Magnam quaerat modi velit. Ut velit est aliquam porro ut quisquam consectetur., Dolor sed magnam voluptatem dolorem quaerat. Quiquia sed velit eius quaerat labore dolorem. Labore quisquam est velit dolor. Dolore magnam consectetur adipisci porro. Porro tempora magnam aliquam numquam. Sit quaerat dolorem aliquam dolorem porro non dolorem.
